mutant	verdict	detail
region:typeII_window/row0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_window/row0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_window/row0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_window/row1/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_window/row1/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_window/row1/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeII_window/row1/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeIprime_window/row0/rhs0+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
region:typeIprime_window/row0/rhs0-	killed	config=base slice=429/500 (mutant=covered, expected witness)
region:typeIprime_window/row0/rhs1+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
region:typeIprime_window/row0/rhs1-	killed	config=base slice=8607/10000 (mutant=covered, expected witness)
region:typeIprime_window/row1/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeIprime_window/row1/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeIprime_window/row1/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeIprime_window/row1/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI_window/row0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI_window/row0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI_window/row0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI_window/row0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI_window/row1/rhs0+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
region:typeI_window/row1/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:typeI_window/row1/rhs1+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
region:typeI_window/row1/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row1/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row1/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row1/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row1/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row2/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row2/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row2/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_lower/row2/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row1/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row1/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row1/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row1/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
region:gate_l5_upper/row2/rhs0+	killed	config=base slice=19/20 (mutant=witness, expected covered)
region:gate_l5_upper/row2/rhs0-	SURVIVED	OUT_OF_REACH (boundary moved: base ; no_typeIprime_bound -- movement does not cross any expectation change)
region:gate_l5_upper/row2/rhs1+	killed	config=base slice=19/20 (mutant=witness, expected covered)
region:gate_l5_upper/row2/rhs1-	SURVIVED	OUT_OF_REACH (boundary moved: base ; no_typeIprime_bound -- movement does not cross any expectation change)
